date,province,amphoe,tambon,patient_count,avg_pm25,avg_temperature,critical_patient_count,high_patient_count
2026-01-01,ลำพูน,เมือง,ศรีภูมิ,1,59.98,35.08,0.0,0.0
2026-01-01,เชียงราย,พาน,ทรายขาว,2,58.495,32.85,0.0,0.0
2026-01-01,เชียงราย,เมือง,สุเทพ,1,13.82,30.59,0.0,0.0
2026-01-01,เชียงใหม่,สารภี,ยางเนิ้ง,1,30.85,29.65,0.0,0.0
2026-01-01,เชียงใหม่,สารภี,หนองผึ้ง,1,36.65,35.19,0.0,1.0
2026-01-01,เชียงใหม่,เมือง,ศรีภูมิ,2,58.27,34.945,0.0,1.0
2026-01-01,แม่ฮ่องสอน,ปาย,เวียงใต้,1,112.81,30.78,0.0,0.0
2026-01-01,แม่ฮ่องสอน,เมือง,ศรีภูมิ,2,73.82499999999999,29.82,1.0,1.0
2026-01-10,ลำพูน,เมือง,ช้างเผือก,1,48.87,31.91,0.0,0.0
2026-01-10,ลำพูน,เมือง,สุเทพ,2,110.075,34.51,0.0,0.0
2026-01-10,เชียงราย,แม่สาย,เวียงพางคำ,1,67.71,39.54,0.0,1.0
2026-01-10,เชียงราย,แม่สาย,โป่งผา,1,39.22,33.57,0.0,0.0
2026-01-10,เชียงใหม่,สารภี,หนองผึ้ง,1,23.05,32.67,0.0,0.0
2026-01-10,เชียงใหม่,เมือง,ช้างเผือก,1,28.17,35.77,0.0,0.0
2026-01-10,แม่ฮ่องสอน,ปาย,เวียงใต้,1,114.62,37.03,0.0,0.0
2026-01-10,แม่ฮ่องสอน,ปาย,แม่ฮี้,2,70.61500000000001,35.52,0.0,1.0
2026-01-10,แม่ฮ่องสอน,เมือง,ช้างเผือก,1,91.37,31.09,0.0,0.0
2026-01-11,เชียงราย,พาน,ทรายขาว,1,79.18,29.9,0.0,0.0
2026-01-11,เชียงใหม่,แม่ริม,ดอนแก้ว,1,46.62,38.9,0.0,1.0
2026-01-11,แม่ฮ่องสอน,ปาย,เวียงใต้,1,34.21,39.4,0.0,0.0
2026-01-11,แม่ฮ่องสอน,เมือง,ช้างเผือก,1,118.82,28.41,0.0,0.0
2026-01-12,ลำพูน,ป่าซาง,น้ำดิบ,2,79.22,32.625,0.0,0.0
2026-01-12,ลำพูน,ป่าซาง,มะกอก,1,117.99,30.8,0.0,1.0
2026-01-12,ลำพูน,ลี้,ลี้,1,89.48,34.18,1.0,0.0
2026-01-12,ลำพูน,ลี้,ศรีวิชัย,2,61.870000000000005,34.33,0.0,0.0
2026-01-12,ลำพูน,เมือง,ศรีภูมิ,1,91.23,26.21,0.0,0.0
2026-01-12,เชียงราย,พาน,ม่วงคำ,1,98.8,34.71,0.0,1.0
2026-01-12,เชียงใหม่,หางดง,หนองควาย,1,79.0,27.78,0.0,0.0
2026-01-12,เชียงใหม่,เมือง,ศรีภูมิ,1,30.95,26.12,0.0,0.0
2026-01-12,แม่ฮ่องสอน,ปาย,เวียงใต้,1,21.68,25.97,0.0,0.0
2026-01-12,แม่ฮ่องสอน,เมือง,ช้างเผือก,2,17.595,33.055,0.0,0.0
2026-01-12,แม่ฮ่องสอน,เมือง,สุเทพ,3,42.016666666666666,33.75666666666667,0.0,0.0
2026-01-13,ลำพูน,ป่าซาง,มะกอก,1,105.07,30.64,0.0,0.0
2026-01-13,เชียงราย,เมือง,สุเทพ,1,86.82,32.48,0.0,1.0
2026-01-13,เชียงใหม่,หางดง,หนองควาย,2,69.34,30.565,0.0,0.0
2026-01-13,เชียงใหม่,เมือง,สุเทพ,1,114.37,32.51,0.0,1.0
2026-01-13,เชียงใหม่,แม่ริม,ริมใต้,1,70.31,33.01,0.0,0.0
2026-01-13,แม่ฮ่องสอน,ปาย,แม่ฮี้,2,86.705,35.115,0.0,1.0
2026-01-14,ลำพูน,ลี้,ศรีวิชัย,1,63.34,31.66,0.0,0.0
2026-01-14,ลำพูน,เมือง,ช้างเผือก,1,119.51,25.02,0.0,1.0
2026-01-14,ลำพูน,เมือง,ศรีภูมิ,1,62.32,36.44,1.0,0.0
2026-01-14,เชียงราย,พาน,ทรายขาว,2,92.735,30.29,0.0,2.0
2026-01-14,เชียงราย,เมือง,ช้างเผือก,1,75.21,39.95,1.0,0.0
2026-01-14,เชียงราย,เมือง,สุเทพ,1,90.41,28.86,0.0,0.0
2026-01-14,เชียงใหม่,สารภี,หนองผึ้ง,1,41.78,39.45,0.0,0.0
2026-01-14,เชียงใหม่,หางดง,หนองควาย,1,55.29,29.93,0.0,0.0
2026-01-14,เชียงใหม่,เมือง,สุเทพ,1,91.44,31.57,0.0,1.0
2026-01-14,แม่ฮ่องสอน,ปาย,เวียงใต้,1,30.86,30.3,0.0,0.0
2026-01-14,แม่ฮ่องสอน,เมือง,ศรีภูมิ,1,44.23,28.06,0.0,0.0
2026-01-14,แม่ฮ่องสอน,เมือง,สุเทพ,1,104.36,32.99,0.0,0.0
2026-01-15,เชียงราย,เมือง,สุเทพ,1,91.46,26.74,0.0,0.0
2026-01-15,เชียงราย,แม่สาย,โป่งผา,1,90.94,36.22,1.0,0.0
2026-01-15,เชียงใหม่,เมือง,ช้างเผือก,1,47.13,32.96,0.0,0.0
2026-01-15,แม่ฮ่องสอน,ปาย,เวียงใต้,1,28.62,25.27,0.0,0.0
2026-01-15,แม่ฮ่องสอน,เมือง,ช้างเผือก,1,34.0,30.35,0.0,0.0
2026-01-15,แม่ฮ่องสอน,เมือง,ศรีภูมิ,1,100.02,39.56,0.0,1.0
2026-01-16,ลำพูน,ป่าซาง,น้ำดิบ,1,115.39,27.76,0.0,0.0
2026-01-16,ลำพูน,ลี้,ลี้,1,43.82,31.37,1.0,0.0
2026-01-16,ลำพูน,เมือง,สุเทพ,1,93.63,25.2,0.0,1.0
2026-01-16,เชียงราย,เมือง,ช้างเผือก,2,79.69,30.585,0.0,1.0
2026-01-16,เชียงราย,แม่สาย,เวียงพางคำ,1,83.9,37.92,0.0,1.0
2026-01-16,แม่ฮ่องสอน,ปาย,แม่ฮี้,1,14.6,33.68,0.0,0.0
