date,province,amphoe,tambon,pm25_avg,temperature_avg
2026-01-01,ลำพูน,เมือง,ศรีภูมิ,59.98,35.08
2026-01-01,เชียงราย,พาน,ทรายขาว,58.5,32.85
2026-01-01,เชียงราย,เมือง,สุเทพ,13.82,30.59
2026-01-01,เชียงใหม่,สารภี,ยางเนิ้ง,30.85,29.65
2026-01-01,เชียงใหม่,สารภี,หนองผึ้ง,36.65,35.19
2026-01-01,เชียงใหม่,เมือง,ศรีภูมิ,58.27,34.94
2026-01-01,แม่ฮ่องสอน,ปาย,เวียงใต้,112.81,30.78
2026-01-01,แม่ฮ่องสอน,เมือง,ศรีภูมิ,73.82,29.82
2026-01-10,ลำพูน,เมือง,ช้างเผือก,48.87,31.91
2026-01-10,ลำพูน,เมือง,สุเทพ,110.08,34.51
2026-01-10,เชียงราย,แม่สาย,เวียงพางคำ,67.71,39.54
2026-01-10,เชียงราย,แม่สาย,โป่งผา,39.22,33.57
2026-01-10,เชียงใหม่,สารภี,หนองผึ้ง,23.05,32.67
2026-01-10,เชียงใหม่,เมือง,ช้างเผือก,28.17,35.77
2026-01-10,แม่ฮ่องสอน,ปาย,เวียงใต้,114.62,37.03
2026-01-10,แม่ฮ่องสอน,ปาย,แม่ฮี้,70.62,35.52
2026-01-10,แม่ฮ่องสอน,เมือง,ช้างเผือก,91.37,31.09
2026-01-11,เชียงราย,พาน,ทรายขาว,79.18,29.9
2026-01-11,เชียงใหม่,แม่ริม,ดอนแก้ว,46.62,38.9
2026-01-11,แม่ฮ่องสอน,ปาย,เวียงใต้,34.21,39.4
2026-01-11,แม่ฮ่องสอน,เมือง,ช้างเผือก,118.82,28.41
2026-01-12,ลำพูน,ป่าซาง,น้ำดิบ,79.22,32.62
2026-01-12,ลำพูน,ป่าซาง,มะกอก,117.99,30.8
2026-01-12,ลำพูน,ลี้,ลี้,89.48,34.18
2026-01-12,ลำพูน,ลี้,ศรีวิชัย,61.87,34.33
2026-01-12,ลำพูน,เมือง,ศรีภูมิ,91.23,26.21
2026-01-12,เชียงราย,พาน,ม่วงคำ,98.8,34.71
2026-01-12,เชียงใหม่,หางดง,หนองควาย,79.0,27.78
2026-01-12,เชียงใหม่,เมือง,ศรีภูมิ,30.95,26.12
2026-01-12,แม่ฮ่องสอน,ปาย,เวียงใต้,21.68,25.97
2026-01-12,แม่ฮ่องสอน,เมือง,ช้างเผือก,17.6,33.06
2026-01-12,แม่ฮ่องสอน,เมือง,สุเทพ,42.02,33.76
2026-01-13,ลำพูน,ป่าซาง,มะกอก,105.07,30.64
2026-01-13,เชียงราย,เมือง,สุเทพ,86.82,32.48
2026-01-13,เชียงใหม่,หางดง,หนองควาย,69.34,30.56
2026-01-13,เชียงใหม่,เมือง,สุเทพ,114.37,32.51
2026-01-13,เชียงใหม่,แม่ริม,ริมใต้,70.31,33.01
2026-01-13,แม่ฮ่องสอน,ปาย,แม่ฮี้,86.7,35.12
2026-01-14,ลำพูน,ลี้,ศรีวิชัย,63.34,31.66
2026-01-14,ลำพูน,เมือง,ช้างเผือก,119.51,25.02
2026-01-14,ลำพูน,เมือง,ศรีภูมิ,62.32,36.44
2026-01-14,เชียงราย,พาน,ทรายขาว,92.74,30.29
2026-01-14,เชียงราย,เมือง,ช้างเผือก,75.21,39.95
2026-01-14,เชียงราย,เมือง,สุเทพ,90.41,28.86
2026-01-14,เชียงใหม่,สารภี,หนองผึ้ง,41.78,39.45
2026-01-14,เชียงใหม่,หางดง,หนองควาย,55.29,29.93
2026-01-14,เชียงใหม่,เมือง,สุเทพ,91.44,31.57
2026-01-14,แม่ฮ่องสอน,ปาย,เวียงใต้,30.86,30.3
2026-01-14,แม่ฮ่องสอน,เมือง,ศรีภูมิ,44.23,28.06
2026-01-14,แม่ฮ่องสอน,เมือง,สุเทพ,104.36,32.99
2026-01-15,เชียงราย,เมือง,สุเทพ,91.46,26.74
2026-01-15,เชียงราย,แม่สาย,โป่งผา,90.94,36.22
2026-01-15,เชียงใหม่,เมือง,ช้างเผือก,47.13,32.96
2026-01-15,แม่ฮ่องสอน,ปาย,เวียงใต้,28.62,25.27
2026-01-15,แม่ฮ่องสอน,เมือง,ช้างเผือก,34.0,30.35
2026-01-15,แม่ฮ่องสอน,เมือง,ศรีภูมิ,100.02,39.56
2026-01-16,ลำพูน,ป่าซาง,น้ำดิบ,115.39,27.76
2026-01-16,ลำพูน,ลี้,ลี้,43.82,31.37
2026-01-16,ลำพูน,เมือง,สุเทพ,93.63,25.2
2026-01-16,เชียงราย,เมือง,ช้างเผือก,79.69,30.58
2026-01-16,เชียงราย,แม่สาย,เวียงพางคำ,83.9,37.92
2026-01-16,แม่ฮ่องสอน,ปาย,แม่ฮี้,14.6,33.68
2026-01-16,แม่ฮ่องสอน,เมือง,สุเทพ,104.8,35.86
2026-01-17,ลำพูน,เมือง,ศรีภูมิ,88.92,37.14
2026-01-17,ลำพูน,เมือง,สุเทพ,81.06,33.95
2026-01-17,เชียงราย,พาน,ทรายขาว,92.65,31.46
2026-01-17,เชียงราย,พาน,ม่วงคำ,99.81,25.68
2026-01-17,เชียงราย,เมือง,สุเทพ,44.05,33.17
2026-01-17,เชียงราย,แม่สาย,โป่งผา,71.82,36.14
2026-01-17,เชียงใหม่,หางดง,บ้านแหวน,91.82,31.4
2026-01-17,เชียงใหม่,เมือง,ช้างเผือก,91.56,36.86
2026-01-17,แม่ฮ่องสอน,ปาย,เวียงใต้,102.32,32.28
2026-01-17,แม่ฮ่องสอน,ปาย,แม่ฮี้,74.99,34.77
2026-01-17,แม่ฮ่องสอน,เมือง,สุเทพ,13.55,29.05
2026-01-18,ลำพูน,ป่าซาง,มะกอก,25.91,29.62
2026-01-18,ลำพูน,ลี้,ลี้,103.38,36.74
2026-01-18,ลำพูน,ลี้,ศรีวิชัย,68.23,36.81
2026-01-18,ลำพูน,เมือง,ศรีภูมิ,51.09,26.52
2026-01-18,เชียงราย,แม่สาย,เวียงพางคำ,26.81,29.72
2026-01-18,เชียงราย,แม่สาย,โป่งผา,53.47,32.98
2026-01-18,เชียงใหม่,สารภี,ยางเนิ้ง,93.3,29.61
2026-01-18,เชียงใหม่,เมือง,ช้างเผือก,92.06,33.04
2026-01-18,เชียงใหม่,เมือง,สุเทพ,32.97,31.55
2026-01-18,เชียงใหม่,แม่ริม,ดอนแก้ว,72.63,30.06
