datetime,date,hour,province,amphoe,tambon,pm25_avg,pm25_max,temperature_avg,temperature_max,humidity_avg,heat_index,source_station_id,lat,lon
2026-05-01 00:00:00,2026-05-01,0,Chiang Mai,Mueang Chiang Mai,Suthep,32.95,49.14,31.02,32.49,61.13,31.41,CMU_ST_001,18.7961,98.9525
2026-05-01 01:00:00,2026-05-01,1,Chiang Mai,Mueang Chiang Mai,Suthep,32.42,41.15,30.98,32.69,68.66,31.63,CMU_ST_001,18.7961,98.9525
2026-05-01 02:00:00,2026-05-01,2,Chiang Mai,Mueang Chiang Mai,Suthep,48.42,56.64,29.54,30.08,63.57,30.02,CMU_ST_001,18.7961,98.9525
2026-05-01 03:00:00,2026-05-01,3,Chiang Mai,Mueang Chiang Mai,Suthep,50.52,61.99,29.61,30.95,63.89,30.1,CMU_ST_001,18.7961,98.9525
2026-05-01 04:00:00,2026-05-01,4,Chiang Mai,Mueang Chiang Mai,Suthep,67.27,80.59,29.73,31.15,70.69,30.46,CMU_ST_001,18.7961,98.9525
2026-05-01 05:00:00,2026-05-01,5,Chiang Mai,Mueang Chiang Mai,Suthep,75.17,93.72,28.72,30.49,66.56,29.29,CMU_ST_001,18.7961,98.9525
2026-05-01 06:00:00,2026-05-01,6,Chiang Mai,Mueang Chiang Mai,Suthep,81.76,103.29,29.44,30.23,69.45,30.13,CMU_ST_001,18.7961,98.9525
2026-05-01 07:00:00,2026-05-01,7,Chiang Mai,Mueang Chiang Mai,Suthep,100.45,109.88,30.26,31.61,68.28,30.9,CMU_ST_001,18.7961,98.9525
2026-05-01 08:00:00,2026-05-01,8,Chiang Mai,Mueang Chiang Mai,Suthep,108.69,133.4,31.7,33.1,67.37,32.31,CMU_ST_001,18.7961,98.9525
2026-05-01 09:00:00,2026-05-01,9,Chiang Mai,Mueang Chiang Mai,Suthep,95.52,110.49,33.06,34.75,61.07,33.45,CMU_ST_001,18.7961,98.9525
2026-05-01 10:00:00,2026-05-01,10,Chiang Mai,Mueang Chiang Mai,Suthep,88.04,108.26,32.94,33.87,59.04,33.25,CMU_ST_001,18.7961,98.9525
2026-05-01 11:00:00,2026-05-01,11,Chiang Mai,Mueang Chiang Mai,Suthep,82.81,98.4,35.43,36.03,58.2,35.71,CMU_ST_001,18.7961,98.9525
2026-05-01 12:00:00,2026-05-01,12,Chiang Mai,Mueang Chiang Mai,Suthep,76.47,101.15,35.14,35.62,50.93,35.17,CMU_ST_001,18.7961,98.9525
2026-05-01 13:00:00,2026-05-01,13,Chiang Mai,Mueang Chiang Mai,Suthep,64.94,74.53,35.85,37.16,58.56,36.15,CMU_ST_001,18.7961,98.9525
2026-05-01 14:00:00,2026-05-01,14,Chiang Mai,Mueang Chiang Mai,Suthep,59.66,72.51,36.95,38.2,55.1,37.13,CMU_ST_001,18.7961,98.9525
2026-05-01 15:00:00,2026-05-01,15,Chiang Mai,Mueang Chiang Mai,Suthep,44.13,63.83,36.65,37.97,49.61,36.65,CMU_ST_001,18.7961,98.9525
2026-05-01 16:00:00,2026-05-01,16,Chiang Mai,Mueang Chiang Mai,Suthep,40.13,55.84,37.1,37.99,55.76,37.3,CMU_ST_001,18.7961,98.9525
2026-05-01 17:00:00,2026-05-01,17,Chiang Mai,Mueang Chiang Mai,Suthep,48.58,62.62,36.57,37.6,48.47,36.57,CMU_ST_001,18.7961,98.9525
2026-05-01 18:00:00,2026-05-01,18,Chiang Mai,Mueang Chiang Mai,Suthep,45.2,58.76,35.91,37.46,55.87,36.11,CMU_ST_001,18.7961,98.9525
2026-05-01 19:00:00,2026-05-01,19,Chiang Mai,Mueang Chiang Mai,Suthep,38.75,59.69,35.3,36.78,60.21,35.65,CMU_ST_001,18.7961,98.9525
2026-05-01 20:00:00,2026-05-01,20,Chiang Mai,Mueang Chiang Mai,Suthep,32.22,44.38,34.55,35.02,59.43,34.88,CMU_ST_001,18.7961,98.9525
2026-05-01 21:00:00,2026-05-01,21,Chiang Mai,Mueang Chiang Mai,Suthep,38.59,57.86,33.24,34.06,55.73,33.44,CMU_ST_001,18.7961,98.9525
2026-05-01 22:00:00,2026-05-01,22,Chiang Mai,Mueang Chiang Mai,Suthep,31.39,54.75,32.49,33.81,59.5,32.82,CMU_ST_001,18.7961,98.9525
2026-05-01 23:00:00,2026-05-01,23,Chiang Mai,Mueang Chiang Mai,Suthep,40.56,46.73,31.89,33.19,60.81,32.27,CMU_ST_001,18.7961,98.9525
2026-05-02 00:00:00,2026-05-02,0,Chiang Mai,Mueang Chiang Mai,Suthep,42.52,54.27,31.95,32.56,61.8,32.36,CMU_ST_001,18.7961,98.9525
2026-05-02 01:00:00,2026-05-02,1,Chiang Mai,Mueang Chiang Mai,Suthep,32.0,52.6,30.57,31.05,65.27,31.1,CMU_ST_001,18.7961,98.9525
2026-05-02 02:00:00,2026-05-02,2,Chiang Mai,Mueang Chiang Mai,Suthep,50.02,68.38,29.77,31.43,65.29,30.31,CMU_ST_001,18.7961,98.9525
2026-05-02 03:00:00,2026-05-02,3,Chiang Mai,Mueang Chiang Mai,Suthep,52.69,60.79,29.47,30.26,66.79,30.05,CMU_ST_001,18.7961,98.9525
2026-05-02 04:00:00,2026-05-02,4,Chiang Mai,Mueang Chiang Mai,Suthep,64.32,85.29,29.93,30.8,63.17,30.39,CMU_ST_001,18.7961,98.9525
2026-05-02 05:00:00,2026-05-02,5,Chiang Mai,Mueang Chiang Mai,Suthep,71.14,92.04,28.73,30.44,66.71,29.31,CMU_ST_001,18.7961,98.9525
2026-05-02 06:00:00,2026-05-02,6,Chiang Mai,Mueang Chiang Mai,Suthep,86.35,99.59,29.18,30.31,68.54,29.83,CMU_ST_001,18.7961,98.9525
2026-05-02 07:00:00,2026-05-02,7,Chiang Mai,Mueang Chiang Mai,Suthep,100.23,125.12,30.6,32.28,64.46,31.11,CMU_ST_001,18.7961,98.9525
2026-05-02 08:00:00,2026-05-02,8,Chiang Mai,Mueang Chiang Mai,Suthep,103.94,116.19,31.75,33.5,57.62,32.02,CMU_ST_001,18.7961,98.9525
2026-05-02 09:00:00,2026-05-02,9,Chiang Mai,Mueang Chiang Mai,Suthep,105.87,124.71,32.02,33.1,60.09,32.37,CMU_ST_001,18.7961,98.9525
2026-05-02 10:00:00,2026-05-02,10,Chiang Mai,Mueang Chiang Mai,Suthep,93.38,104.69,33.45,34.83,63.51,33.93,CMU_ST_001,18.7961,98.9525
2026-05-02 11:00:00,2026-05-02,11,Chiang Mai,Mueang Chiang Mai,Suthep,75.23,82.17,34.07,35.13,57.64,34.34,CMU_ST_001,18.7961,98.9525
2026-05-02 12:00:00,2026-05-02,12,Chiang Mai,Mueang Chiang Mai,Suthep,63.07,73.55,35.05,36.1,53.53,35.17,CMU_ST_001,18.7961,98.9525
2026-05-02 13:00:00,2026-05-02,13,Chiang Mai,Mueang Chiang Mai,Suthep,65.42,77.49,36.58,38.07,57.01,36.82,CMU_ST_001,18.7961,98.9525
2026-05-02 14:00:00,2026-05-02,14,Chiang Mai,Mueang Chiang Mai,Suthep,60.49,78.57,36.49,37.01,56.44,36.72,CMU_ST_001,18.7961,98.9525
2026-05-02 15:00:00,2026-05-02,15,Chiang Mai,Mueang Chiang Mai,Suthep,53.51,67.75,36.57,37.93,56.8,36.8,CMU_ST_001,18.7961,98.9525
2026-05-02 16:00:00,2026-05-02,16,Chiang Mai,Mueang Chiang Mai,Suthep,51.68,71.91,37.27,38.86,49.93,37.27,CMU_ST_001,18.7961,98.9525
2026-05-02 17:00:00,2026-05-02,17,Chiang Mai,Mueang Chiang Mai,Suthep,49.36,64.19,36.29,36.79,51.52,36.34,CMU_ST_001,18.7961,98.9525
2026-05-02 18:00:00,2026-05-02,18,Chiang Mai,Mueang Chiang Mai,Suthep,39.07,49.18,35.42,36.27,60.08,35.78,CMU_ST_001,18.7961,98.9525
2026-05-02 19:00:00,2026-05-02,19,Chiang Mai,Mueang Chiang Mai,Suthep,41.45,50.02,34.85,35.29,53.1,34.96,CMU_ST_001,18.7961,98.9525
2026-05-02 20:00:00,2026-05-02,20,Chiang Mai,Mueang Chiang Mai,Suthep,44.15,55.95,34.32,35.5,59.44,34.65,CMU_ST_001,18.7961,98.9525
2026-05-02 21:00:00,2026-05-02,21,Chiang Mai,Mueang Chiang Mai,Suthep,41.77,57.59,33.99,35.7,60.65,34.37,CMU_ST_001,18.7961,98.9525
2026-05-02 22:00:00,2026-05-02,22,Chiang Mai,Mueang Chiang Mai,Suthep,37.86,57.81,33.04,34.33,63.08,33.49,CMU_ST_001,18.7961,98.9525
2026-05-02 23:00:00,2026-05-02,23,Chiang Mai,Mueang Chiang Mai,Suthep,30.17,43.16,32.39,33.63,63.75,32.87,CMU_ST_001,18.7961,98.9525
2026-05-03 00:00:00,2026-05-03,0,Chiang Mai,Mueang Chiang Mai,Suthep,44.9,50.67,32.03,33.6,57.08,32.28,CMU_ST_001,18.7961,98.9525
2026-05-03 01:00:00,2026-05-03,1,Chiang Mai,Mueang Chiang Mai,Suthep,52.12,75.65,30.91,32.6,62.25,31.34,CMU_ST_001,18.7961,98.9525
2026-05-03 02:00:00,2026-05-03,2,Chiang Mai,Mueang Chiang Mai,Suthep,51.42,70.56,30.41,31.11,66.51,30.99,CMU_ST_001,18.7961,98.9525
2026-05-03 03:00:00,2026-05-03,3,Chiang Mai,Mueang Chiang Mai,Suthep,55.44,75.3,30.31,31.32,62.35,30.74,CMU_ST_001,18.7961,98.9525
2026-05-03 04:00:00,2026-05-03,4,Chiang Mai,Mueang Chiang Mai,Suthep,66.77,73.59,29.96,30.67,61.14,30.35,CMU_ST_001,18.7961,98.9525
2026-05-03 05:00:00,2026-05-03,5,Chiang Mai,Mueang Chiang Mai,Suthep,89.47,105.41,29.62,30.09,63.11,30.08,CMU_ST_001,18.7961,98.9525
2026-05-03 06:00:00,2026-05-03,6,Chiang Mai,Mueang Chiang Mai,Suthep,110.67,127.69,28.87,29.39,64.75,29.38,CMU_ST_001,18.7961,98.9525
2026-05-03 07:00:00,2026-05-03,7,Chiang Mai,Mueang Chiang Mai,Suthep,107.42,118.63,30.36,31.32,63.74,30.84,CMU_ST_001,18.7961,98.9525
2026-05-03 08:00:00,2026-05-03,8,Chiang Mai,Mueang Chiang Mai,Suthep,118.47,142.34,31.85,33.57,64.07,32.35,CMU_ST_001,18.7961,98.9525
2026-05-03 09:00:00,2026-05-03,9,Chiang Mai,Mueang Chiang Mai,Suthep,124.69,138.53,31.75,33.06,60.12,32.11,CMU_ST_001,18.7961,98.9525
2026-05-03 10:00:00,2026-05-03,10,Chiang Mai,Mueang Chiang Mai,Suthep,103.44,115.92,32.89,33.41,56.09,33.1,CMU_ST_001,18.7961,98.9525
2026-05-03 11:00:00,2026-05-03,11,Chiang Mai,Mueang Chiang Mai,Suthep,100.39,116.37,34.51,35.7,57.81,34.78,CMU_ST_001,18.7961,98.9525
2026-05-03 12:00:00,2026-05-03,12,Chiang Mai,Mueang Chiang Mai,Suthep,80.53,94.67,35.22,36.66,51.93,35.28,CMU_ST_001,18.7961,98.9525
2026-05-03 13:00:00,2026-05-03,13,Chiang Mai,Mueang Chiang Mai,Suthep,62.95,82.01,37.08,38.62,49.56,37.08,CMU_ST_001,18.7961,98.9525
2026-05-03 14:00:00,2026-05-03,14,Chiang Mai,Mueang Chiang Mai,Suthep,67.85,84.66,37.11,38.17,53.82,37.24,CMU_ST_001,18.7961,98.9525
2026-05-03 15:00:00,2026-05-03,15,Chiang Mai,Mueang Chiang Mai,Suthep,64.28,83.03,36.51,37.3,48.52,36.51,CMU_ST_001,18.7961,98.9525
2026-05-03 16:00:00,2026-05-03,16,Chiang Mai,Mueang Chiang Mai,Suthep,51.62,59.18,36.19,37.6,58.15,36.47,CMU_ST_001,18.7961,98.9525
2026-05-03 17:00:00,2026-05-03,17,Chiang Mai,Mueang Chiang Mai,Suthep,59.67,73.17,36.77,37.53,48.91,36.77,CMU_ST_001,18.7961,98.9525
2026-05-03 18:00:00,2026-05-03,18,Chiang Mai,Mueang Chiang Mai,Suthep,45.18,66.9,36.47,38.04,48.32,36.47,CMU_ST_001,18.7961,98.9525
2026-05-03 19:00:00,2026-05-03,19,Chiang Mai,Mueang Chiang Mai,Suthep,46.6,57.76,34.65,35.84,56.72,34.88,CMU_ST_001,18.7961,98.9525
2026-05-03 20:00:00,2026-05-03,20,Chiang Mai,Mueang Chiang Mai,Suthep,48.94,70.31,34.51,35.3,59.98,34.86,CMU_ST_001,18.7961,98.9525
2026-05-03 21:00:00,2026-05-03,21,Chiang Mai,Mueang Chiang Mai,Suthep,46.53,54.6,32.82,33.47,61.6,33.22,CMU_ST_001,18.7961,98.9525
2026-05-03 22:00:00,2026-05-03,22,Chiang Mai,Mueang Chiang Mai,Suthep,35.35,47.45,32.48,33.09,61.1,32.87,CMU_ST_001,18.7961,98.9525
2026-05-03 23:00:00,2026-05-03,23,Chiang Mai,Mueang Chiang Mai,Suthep,42.81,56.37,33.19,34.77,61.75,33.6,CMU_ST_001,18.7961,98.9525
2026-05-04 00:00:00,2026-05-04,0,Chiang Mai,Mueang Chiang Mai,Suthep,60.48,82.51,30.95,31.61,64.02,31.44,CMU_ST_001,18.7961,98.9525
2026-05-04 01:00:00,2026-05-04,1,Chiang Mai,Mueang Chiang Mai,Suthep,64.17,69.58,30.58,31.65,60.28,30.94,CMU_ST_001,18.7961,98.9525
