datetime,date,hour,province,amphoe,tambon,pm25_avg,source_id,lat,lon,temperature_avg
2026-01-01 00:00:00,2026-01-01,0,เชียงใหม่,เมือง,สุเทพ,37.91,13,18.761371,98.931855,16.822236842105262
2026-01-01 01:00:00,2026-01-01,1,เชียงใหม่,เมือง,สุเทพ,43.08,13,18.761371,98.931855,16.303137254901962
2026-01-01 02:00:00,2026-01-01,2,เชียงใหม่,เมือง,สุเทพ,47.53,13,18.761371,98.931855,15.860264900662253
2026-01-01 03:00:00,2026-01-01,3,เชียงใหม่,เมือง,สุเทพ,45.87,13,18.761371,98.931855,15.480397350993377
2026-01-01 04:00:00,2026-01-01,4,เชียงใหม่,เมือง,สุเทพ,46.46,13,18.761371,98.931855,15.189407894736842
2026-01-01 05:00:00,2026-01-01,5,เชียงใหม่,เมือง,สุเทพ,45.69,13,18.761371,98.931855,14.930592105263157
2026-01-01 06:00:00,2026-01-01,6,เชียงใหม่,เมือง,สุเทพ,45.51,13,18.761371,98.931855,14.759867549668876
2026-01-01 07:00:00,2026-01-01,7,เชียงใหม่,เมือง,สุเทพ,45.08,13,18.761371,98.931855,14.652199999999999
2026-01-01 08:00:00,2026-01-01,8,เชียงใหม่,เมือง,สุเทพ,60.47,13,18.761371,98.931855,15.920860927152319
2026-01-01 09:00:00,2026-01-01,9,เชียงใหม่,เมือง,สุเทพ,68.93,13,18.761371,98.931855,18.722052980132453
2026-01-01 10:00:00,2026-01-01,10,เชียงใหม่,เมือง,สุเทพ,64.31,13,18.761371,98.931855,22.215263157894736
2026-01-01 11:00:00,2026-01-01,11,เชียงใหม่,เมือง,สุเทพ,56.43,13,18.761371,98.931855,25.629934210526315
2026-01-01 12:00:00,2026-01-01,12,เชียงใหม่,เมือง,สุเทพ,45.6,13,18.761371,98.931855,28.03822368421053
2026-01-01 13:00:00,2026-01-01,13,เชียงใหม่,เมือง,สุเทพ,33.4,13,18.761371,98.931855,29.61576158940397
2026-01-01 14:00:00,2026-01-01,14,เชียงใหม่,เมือง,สุเทพ,32.12,13,18.761371,98.931855,30.375065789473684
2026-01-01 15:00:00,2026-01-01,15,เชียงใหม่,เมือง,สุเทพ,31.56,13,18.761371,98.931855,30.788039215686272
2026-01-01 16:00:00,2026-01-01,16,เชียงใหม่,เมือง,สุเทพ,29.58,13,18.761371,98.931855,30.17470588235294
