date,province,amphoe,tambon,local_name,pm25_avg,temperature_avg
2026-04-01 00:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,200.32,23.09
2026-04-01 01:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,236.22,22.47
2026-04-01 02:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,249.44,22.06
2026-04-01 03:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,221.15,21.76
2026-04-01 04:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,229.66,20.79
2026-04-01 05:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,235.05,20.32
2026-04-01 06:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,241.01,19.83
2026-04-01 07:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,276.91,19.98
2026-04-01 08:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,279.11,22.3
2026-04-01 09:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,267.57,24.64
2026-04-01 10:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,271.48,28.18
2026-04-01 11:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,296.17,30.42
2026-04-01 12:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,309.55,33.14
2026-04-01 13:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,290.46,36.09
2026-04-01 14:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,193.5,37.09
2026-04-01 15:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,165.08,37.49
2026-04-01 16:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,242.54,34.07
2026-04-01 17:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,213.47,31.55
2026-04-01 18:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,199.31,29.53
2026-04-01 19:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,208.52,27.82
2026-04-01 20:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,212.47,25.69
2026-04-01 21:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,235.01,24.59
2026-04-01 22:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,235.62,23.98
2026-04-01 23:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,221.49,23.71
2026-04-02 00:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,243.91,22.44
2026-04-02 01:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,257.71,21.92
2026-04-02 02:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,272.66,21.49
2026-04-02 03:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,278.68,21.09
2026-04-02 04:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,285.85,20.46
2026-04-02 05:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,291.76,20.01
2026-04-02 06:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,282.82,19.28
2026-04-02 07:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,257.28,19.73
2026-04-02 08:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,259.26,22.23
2026-04-02 09:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,263.37,25.52
2026-04-02 10:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,267.16,28.44
2026-04-02 11:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,300.44,31.35
2026-04-02 12:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,295.64,34.92
2026-04-02 13:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,225.72,36.95
2026-04-02 14:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,192.78,37.67
2026-04-02 15:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,176.08,38.83
2026-04-02 16:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,168.0,38.51
2026-04-02 17:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,161.93,35.89
2026-04-02 18:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,175.53,31.4
2026-04-02 19:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,166.51,27.71
2026-04-02 20:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,161.65,26.48
2026-04-02 21:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,162.95,25.04
2026-04-02 22:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,176.16,23.91
2026-04-02 23:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,176.92,23.15
2026-04-03 00:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,178.24,21.38
2026-04-03 01:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,180.69,21.44
2026-04-03 02:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,184.12,20.92
2026-04-03 03:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,195.55,20.25
2026-04-03 04:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,216.61,20.01
2026-04-03 05:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,205.69,19.39
2026-04-03 06:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,204.48,18.31
2026-04-03 07:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,221.59,19.22
2026-04-03 08:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,223.39,22.51
2026-04-03 09:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,238.18,26.04
2026-04-03 10:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,259.59,30.14
2026-04-03 11:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,289.01,33.77
2026-04-03 12:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,215.74,36.61
2026-04-03 13:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,185.73,39.4
2026-04-03 14:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,124.84,38.9
2026-04-03 15:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,106.06,39.71
2026-04-03 16:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,107.67,40.22
2026-04-03 17:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,117.81,38.3
2026-04-03 18:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,144.95,31.76
2026-04-03 19:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,167.65,28.49
2026-04-03 20:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,181.89,26.44
2026-04-03 21:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,184.68,25.89
2026-04-03 22:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,166.05,24.56
2026-04-03 23:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,172.75,23.67
2026-04-04 00:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,170.38,22.84
2026-04-04 01:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,174.61,22.15
2026-04-04 02:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,188.01,21.85
2026-04-04 03:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,202.94,21.24
2026-04-04 04:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,249.07,20.79
2026-04-04 05:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,216.97,20.42
2026-04-04 06:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,222.59,19.5
2026-04-04 07:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,231.94,19.84
2026-04-04 08:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,245.92,23.05
2026-04-04 09:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,266.26,25.96
2026-04-04 10:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,285.32,28.71
2026-04-04 11:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,326.9,32.78
2026-04-04 12:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,296.97,35.71
2026-04-04 13:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,250.01,37.63
2026-04-04 14:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,216.94,39.06
2026-04-04 15:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,204.19,39.26
2026-04-04 16:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,203.54,38.35
2026-04-04 17:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,242.57,36.07
2026-04-04 18:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,240.01,31.64
2026-04-04 19:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,230.88,29.02
2026-04-04 20:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,264.07,26.55
2026-04-04 21:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,282.83,26.21
2026-04-04 22:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,261.58,25.76
2026-04-04 23:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,260.71,25.66
2026-04-05 00:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,262.73,25.82
2026-04-05 01:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,277.41,25.32
2026-04-05 02:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,276.88,24.18
2026-04-05 03:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,274.36,23.33
2026-04-05 04:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,271.6,23.3
2026-04-05 05:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,283.2,22.16
2026-04-05 06:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,264.34,21.58
2026-04-05 07:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,278.48,21.65
2026-04-05 08:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,264.3,24.48
2026-04-05 09:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,284.06,27.61
2026-04-05 10:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,270.08,31.37
2026-04-05 11:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,270.34,34.92
2026-04-05 12:00:00,เชียงใหม่,ฝาง,เวียง,รพ.ฝาง,204.86,37.07
